Error, Time
-5,29
-5,41
-5,54
-5,66
-5,78
-5,90
-5,102
-5,113
-5,125
-5,135
-6,147
-6,159
-6,171
-6,181
-6,194
-6,206
-6,218
-6,230
-6,241
-6,253
-6,263
-6,275
-6,287
-6,299
-6,309
-6,321
-7,333
-7,345
-8,357
-7,369
-7,379
-7,391
-8,403
-8,415
-8,427
-8,438
-8,449
-8,460
-8,472
-9,484
-8,496
-8,510
-8,527
-8,539
-8,551
-8,563
-8,574
-8,586
-8,598
-8,610
-8,620
-8,632
-8,644
-8,655
-8,666
-8,678
-8,690
-9,702
-9,713
-9,725
-9,736
-10,747
-10,759
-10,771
-10,781
-10,794
-10,806
-10,817
-11,829
-11,841
-12,853
-12,863
-12,875
-12,888
-12,899
-13,911
-13,921
-13,933
-13,945
-13,955
-13,967
-13,980
-13,992
-13,1002
-13,1014
-12,1026
-12,1036
-12,1048
-12,1060
-12,1071
-11,1083
-11,1094
-11,1106
-11,1121
-11,1132
-11,1144
-11,1156
-11,1167
-11,1179
-11,1191
-11,1203
-10,1215
-10,1227
-10,1238
-10,1250
-10,1262
-10,1274
-10,1286
-10,1298
-10,1308
-10,1321
-10,1333
-10,1345
-10,1357
-10,1368
-10,1379
-11,1391
-11,1402
-11,1414
-11,1426
-12,1437
-12,1448
-11,1460
-12,1471
-12,1483
-12,1495
-12,1507
-12,1517
-13,1529
-13,1541
-13,1553
-13,1564
-13,1575
-13,1586
-13,1598
-13,1610
-14,1622
-14,1632
-13,1644
-13,1656
-13,1668
-12,1679
-12,1690
-12,1702
-11,1714
-11,1726
-11,1736
-10,1749
-10,1761
-9,1773
-8,1784
-8,1796
-8,1806
-8,1819
-7,1830
-6,1842
-6,1854
-5,1865
-5,1876
-5,1889
-5,1900
-4,1912
-4,1924
-4,1936
-4,1946
-3,1958
-3,1970
-3,1982
-2,1993
-2,2003
-2,2014
-2,2026
-2,2038
-2,2050
-2,2060
-2,2072
-2,2083
-2,2096
-2,2107
-2,2118
-2,2129
-2,2141
-2,2153
-2,2163
-3,2175
-3,2187
-2,2199
-3,2210
-4,2222
-4,2233
-4,2244
-5,2256
-5,2268
-5,2279
-5,2289
-6,2301
-7,2313
-7,2325
-8,2337
-8,2348
-8,2359
-9,2370
-10,2382
-11,2394
-11,2405
-12,2416
-12,2428
-13,2440
-13,2451
-13,2463
-14,2475
-15,2487
-15,2499
-15,2510
-15,2521
-16,2534
-16,2545
-16,2557
-17,2569
-16,2581
-16,2591
-16,2604
-16,2615
-16,2635
-15,2647
-15,2660
-14,2671
-14,2683
-14,2695
-13,2707
-13,2717
-12,2729
-12,2741
-11,2753
-11,2764
-10,2776
-10,2787
-9,2798
-9,2809
-9,2820
-8,2832
-7,2844
-7,2855
-7,2868
-7,2879
-6,2892
-6,2904
-5,2916
-6,2928
-5,2939
-5,2950
-5,2962
-5,2974
-4,2986
-5,2997
-5,3008
-5,3018
-5,3030
-6,3042
-5,3054
-5,3066
-6,3077
-6,3088
-6,3099
-6,3111
-6,3123
-6,3135
-6,3145
-7,3157
-7,3169
-7,3181
-7,3193
-7,3204
-7,3215
-7,3226
-7,3238
-7,3250
-7,3260
-7,3272
-7,3284
-7,3296
-7,3307
-7,3319
-7,3331
-7,3343
-8,3355
-8,3367
-8,3378
-9,3390
-8,3402
-9,3414
-10,3425
-10,3437
-10,3448
-10,3461
-11,3473
-9,3484
-11,3496
-11,3507
-11,3518
-12,3530
-12,3542
-13,3553
-12,3565
-13,3577
-13,3587
-12,3599
-13,3611
-13,3623
-13,3635
-13,3645
-13,3657
-13,3668
-13,3680
-13,3692
-13,3702
-12,3714
-12,3726
-12,3738
-11,3749
-12,3761
-12,3772
-11,3783
-12,3795
-12,3806
-14,3818
-15,3830
-14,3842
-12,3854
-9,3866
-9,3876
-8,3890
-5,3902
-2,3914
0,3926
2,3938
2,3948
4,3961
6,3973
9,3985
11,3997
13,4007
13,4018
16,4030
17,4042
20,4053
22,4065
23,4077
23,4087
25,4099
26,4111
27,4124
28,4136
29,4147
29,4158
30,4170
30,4181
31,4193
31,4203
30,4216
31,4227
31,4239
30,4251
29,4263
29,4275
29,4285
28,4297
26,4308
25,4320
24,4332
24,4342
22,4354
21,4366
21,4376
19,4389
18,4401
16,4413
14,4425
12,4437
12,4447
9,4460
9,4471
8,4483
9,4495
10,4507
10,4517
10,4529
8,4541
12,4553
12,4565
13,4576
13,4587
14,4598
14,4610
15,4622
15,4632
15,4645
15,4657
16,4668
16,4680
16,4692
16,4704
16,4714
16,4726
16,4738
16,4749
16,4761
16,4772
16,4784
15,4795
15,4807
14,4819
14,4831
14,4841
13,4853
12,4865
12,4875
11,4889
11,4902
11,4915
10,4926
9,4938
9,4949
8,4961
7,4973
7,4984
5,4996
5,5007
5,5018
4,5030
5,5042
3,5054
4,5066
2,5078
2,5088
1,5101
-5,5113
-1,5125
6,5137
19,5149
19,5159
23,5172
26,5184
28,5196
31,5208
34,5219
34,5230
36,5242
38,5254
40,5265
41,5277
43,5289
43,5299
44,5311
44,5323
44,5335
44,5346
44,5359
44,5369
44,5381
44,5393
43,5405
42,5416
42,5427
41,5438
40,5450
38,5462
36,5474
36,5484
35,5496
32,5507
32,5518
29,5530
27,5543
25,5555
22,5567
19,5579
15,5591
13,5603
13,5614
10,5626
7,5639
5,5651
5,5661
2,5673
0,5686
-3,5698
-5,5709
-8,5721
-11,5734
-11,5744
-12,5756
-14,5768
-16,5779
-18,5791
-18,5802
-19,5815
-20,5826
-18,5838
-21,5850
-26,5862
-26,5872
-29,5884
-33,5897
-36,5909
-39,5921
-42,5933
-42,5943
-44,5955
-47,5967
-49,5978
-51,5990
-51,6000
-53,6011
-54,6023
-55,6035
-56,6047
-56,6058
-56,6069
-57,6080
-57,6091
-57,6103
-56,6115
-55,6127
-54,6138
-53,6150
-51,6162
-51,6173
-49,6185
-47,6197
-44,6209
-41,6221
-41,6231
-38,6243
-35,6255
-31,6267
-28,6279
-25,6291
-25,6302
-21,6314
-18,6327
-15,6338
-11,6350
-7,6362
-7,6372
-4,6385
-1,6397
1,6409
3,6421
3,6431
6,6443
9,6455
12,6467
15,6478
11,6490
6,6502
6,6512
1,6524
4,6536
6,6547
3,6560
1,6571
1,6582
0,6593
-3,6605
