Error, Time
10,54
10,70
10,81
10,93
10,104
10,116
10,127
12,139
12,149
12,161
13,173
14,185
14,196
14,207
15,218
16,230
16,242
16,255
16,265
17,277
18,288
18,300
18,311
19,324
19,336
19,348
18,359
18,371
18,381
18,394
18,406
17,418
18,429
18,439
18,451
18,463
18,475
17,486
17,498
17,510
17,520
17,532
17,544
17,555
17,567
17,577
16,589
16,601
16,611
15,623
15,635
15,647
15,659
15,669
14,681
14,692
14,704
13,716
13,728
13,738
13,750
13,762
13,774
13,785
13,797
13,807
12,819
12,831
12,842
12,854
12,865
12,876
12,888
12,900
11,911
11,923
11,934
11,945
11,956
11,968
10,980
10,992
9,1002
9,1014
9,1026
9,1036
8,1049
8,1060
8,1072
7,1083
7,1094
7,1108
6,1120
7,1131
7,1143
6,1155
6,1165
5,1178
5,1190
5,1202
5,1213
5,1225
5,1236
6,1249
6,1260
7,1272
7,1284
7,1295
7,1306
7,1317
8,1329
8,1341
8,1353
8,1363
8,1375
7,1387
7,1398
7,1410
7,1423
7,1433
7,1444
7,1456
7,1468
7,1480
7,1490
7,1502
7,1513
7,1523
7,1536
8,1548
7,1560
7,1572
7,1583
7,1594
7,1605
7,1617
8,1629
8,1641
8,1652
8,1662
8,1674
9,1686
9,1698
9,1709
9,1720
9,1732
9,1744
9,1755
9,1767
9,1779
9,1789
9,1801
9,1813
9,1824
8,1836
8,1847
8,1858
7,1870
7,1882
7,1893
7,1905
6,1916
6,1928
6,1939
6,1950
6,1962
6,1973
6,1985
6,1997
6,2008
6,2018
6,2030
6,2041
6,2052
6,2064
6,2077
6,2089
6,2100
6,2112
6,2123
6,2135
6,2146
6,2157
6,2169
6,2181
6,2192
6,2203
6,2214
6,2226
6,2237
6,2250
6,2262
6,2274
6,2286
6,2298
6,2308
6,2320
6,2332
6,2344
6,2356
6,2367
6,2378
6,2389
6,2401
6,2413
6,2424
7,2436
7,2446
7,2458
7,2470
6,2482
6,2493
6,2504
6,2516
6,2528
6,2539
6,2551
6,2561
6,2573
6,2585
5,2597
5,2609
5,2621
5,2631
5,2643
5,2654
5,2666
5,2678
5,2689
4,2701
4,2713
4,2724
4,2735
4,2747
3,2758
3,2770
3,2782
3,2793
3,2804
3,2815
2,2827
3,2839
3,2851
3,2861
3,2873
3,2884
3,2896
3,2908
3,2918
4,2930
4,2941
4,2952
4,2963
5,2976
5,2988
5,3000
5,3011
6,3023
6,3035
6,3045
6,3057
6,3069
6,3080
6,3091
7,3103
7,3115
7,3126
7,3138
8,3150
8,3160
8,3172
8,3183
9,3195
9,3207
8,3219
8,3232
9,3244
9,3257
9,3268
9,3280
9,3292
9,3302
9,3314
9,3326
9,3338
9,3349
9,3360
9,3372
9,3384
9,3395
9,3408
9,3419
9,3430
9,3441
10,3453
10,3465
10,3477
10,3487
10,3499
10,3510
10,3521
10,3533
10,3545
9,3557
10,3569
9,3580
9,3591
10,3602
10,3614
9,3626
9,3638
9,3649
9,3660
9,3672
9,3683
9,3695
9,3707
9,3717
9,3729
9,3740
9,3752
9,3764
9,3774
9,3786
9,3798
9,3808
8,3820
8,3833
8,3844
8,3856
8,3868
8,3880
8,3892
8,3902
8,3914
8,3926
7,3937
7,3948
7,3960
7,3972
7,3983
7,3995
7,4006
7,4016
7,4028
7,4039
8,4051
8,4063
9,4075
9,4085
10,4097
10,4108
10,4119
10,4132
10,4143
10,4155
10,4167
10,4179
10,4191
10,4201
10,4213
10,4224
10,4236
10,4249
10,4259
9,4271
9,4282
9,4294
9,4305
9,4318
9,4330
8,4342
8,4353
8,4365
8,4375
8,4387
8,4399
8,4410
8,4422
8,4434
8,4444
8,4456
7,4468
7,4480
7,4491
7,4503
7,4514
7,4525
7,4537
7,4549
7,4561
7,4571
7,4583
7,4594
7,4606
7,4618
7,4628
7,4640
7,4652
7,4662
7,4675
7,4687
7,4698
7,4710
6,4722
6,4736
6,4748
5,4760
5,4772
5,4784
5,4795
5,4806
5,4818
5,4831
5,4842
5,4854
5,4866
5,4876
5,4889
5,4902
5,4914
5,4925
5,4937
5,4947
5,4960
5,4972
5,4983
5,4995
5,5006
5,5016
6,5029
6,5040
6,5052
7,5064
6,5075
6,5086
7,5097
7,5109
7,5120
8,5132
8,5142
8,5154
8,5166
8,5178
8,5190
8,5202
8,5212
8,5224
9,5235
8,5248
8,5260
8,5270
8,5282
8,5294
8,5304
8,5317
8,5330
8,5341
8,5353
8,5365
8,5375
7,5388
7,5400
7,5411
7,5423
7,5435
7,5445
7,5457
6,5469
6,5480
6,5492
7,5504
7,5514
6,5526
6,5538
6,5549
6,5561
6,5571
7,5583
7,5595
7,5606
7,5618
7,5629
6,5640
6,5652
6,5664
6,5676
6,5688
6,5699
7,5710
6,5723
6,5734
6,5746
6,5756
6,5768
7,5780
7,5791
7,5802
7,5813
7,5825
7,5837
7,5849
7,5861
7,5871
7,5883
7,5894
7,5906
7,5918
7,5928
7,5940
7,5951
7,5963
8,5975
8,5985
8,5997
8,6008
9,6020
9,6032
9,6043
9,6054
9,6065
9,6077
9,6087
9,6100
8,6112
8,6124
8,6136
6,6147
6,6158
4,6170
3,6182
3,6193
4,6205
4,6216
4,6227
4,6239
5,6251
6,6263
6,6275
7,6287
7,6297
7,6309
10,6321
11,6333
11,6343
12,6355
13,6366
13,6377
14,6389
15,6401
16,6413
17,6424
18,6437
19,6448
20,6460
20,6472
20,6483
21,6494
22,6506
22,6516
23,6529
23,6541
24,6553
25,6565
25,6577
25,6587
25,6599
25,6611
26,6622
26,6633
26,6645
26,6656
25,6668
25,6679
25,6691
24,6703
24,6715
24,6726
24,6737
23,6749
23,6761
23,6773
23,6783
23,6795
23,6807
23,6819
23,6831
23,6841
23,6853
24,6865
24,6877
24,6888
24,6900
24,6911
25,6922
25,6933
25,6944
25,6957
25,6970
25,6981
25,6993
25,7004
25,7014
24,7026
24,7038
23,7050
23,7061
23,7073
23,7083
22,7095
22,7107
21,7118
21,7130
21,7142
21,7152
21,7164
20,7175
20,7188
20,7200
20,7210
19,7222
19,7233
19,7244
19,7257
18,7269
18,7281
18,7293
17,7305
17,7317
16,7328
16,7339
16,7350
16,7362
16,7372
15,7385
13,7397
13,7409
14,7421
15,7432
15,7443
16,7455
17,7466
19,7478
20,7490
21,7501
21,7512
23,7523
24,7535
26,7547
27,7559
28,7571
28,7581
29,7593
31,7605
32,7616
32,7628
33,7639
34,7651
34,7661
34,7673
35,7685
36,7697
36,7709
37,7721
37,7733
37,7744
38,7756
38,7767
38,7778
38,7790
38,7800
38,7813
39,7825
39,7837
39,7849
39,7860
39,7871
39,7883
38,7894
38,7906
38,7918
37,7929
37,7940
37,7951
36,7963
36,7975
35,7987
35,7999
35,8008
34,8020
34,8032
33,8043
33,8054
33,8065
32,8077
32,8087
31,8099
31,8112
30,8124
30,8135
30,8147
30,8159
29,8171
29,8182
29,8193
29,8205
29,8216
29,8227
29,8240
28,8253
28,8265
28,8277
27,8288
27,8299
27,8311
26,8322
26,8334
25,8345
25,8357
25,8368
24,8379
23,8391
23,8403
23,8415
22,8427
22,8437
21,8449
22,8460
22,8472
22,8483
22,8494
21,8506
21,8517
22,8529
23,8541
23,8551
23,8563
23,8575
23,8586
24,8598
28,8610
29,8621
30,8633
32,8645
32,8655
33,8668
34,8679
34,8691
35,8703
36,8714
36,8725
37,8737
37,8748
38,8760
38,8772
38,8783
38,8794
39,8805
39,8817
39,8828
39,8840
39,8853
39,8864
38,8876
38,8888
38,8899
38,8910
38,8921
38,8933
38,8945
38,8957
38,8969
38,8979
38,8991
38,9002
38,9012
38,9025
37,9038
37,9050
37,9062
36,9073
36,9084
36,9096
35,9109
35,9120
34,9132
33,9144
33,9155
33,9167
32,9179
31,9191
31,9202
30,9214
30,9224
29,9241
29,9253
28,9265
28,9277
28,9289
27,9301
27,9313
27,9323
27,9335
27,9347
27,9358
27,9369
27,9382
28,9393
28,9405
28,9417
28,9429
28,9439
28,9451
28,9463
28,9475
28,9486
28,9498
28,9508
28,9520
28,9531
28,9543
28,9555
28,9565
27,9577
27,9589
27,9601
26,9613
26,9623
26,9635
26,9646
26,9658
26,9669
26,9680
26,9691
26,9703
25,9715
25,9725
25,9738
25,9749
25,9761
25,9773
25,9784
25,9795
25,9806
25,9818
24,9830
24,9842
24,9852
24,9864
24,9875
24,9887
24,9899
24,9910
24,9921
25,9932
28,9944
27,9956
26,9967
26,9978
25,9989
25,10001
24,10013
24,10023
22,10035
20,10049
18,10061
16,10073
14,10084
12,10096
12,10107
11,10118
9,10130
7,10142
7,10152
5,10165
3,10177
1,10188
0,10200
-2,10212
-2,10222
-3,10234
-4,10245
-5,10258
-6,10270
-6,10280
-7,10292
-7,10303
-8,10315
-9,10327
-9,10338
-9,10349
-10,10360
-10,10372
-10,10384
-9,10395
-9,10406
-8,10418
-8,10429
-8,10440
-7,10452
-6,10464
-6,10476
-6,10487
-5,10499
-5,10509
-4,10521
-4,10533
-3,10545
-3,10557
-2,10568
-2,10579
-2,10590
-2,10602
-1,10614
-1,10626
0,10638
0,10648
0,10660
0,10672
0,10683
0,10695
0,10706
0,10718
1,10730
1,10745
1,10756
1,10769
2,10781
2,10791
3,10803
4,10814
6,10826
9,10838
9,10848
11,10860
13,10872
13,10882
15,10894
16,10906
17,10918
18,10930
18,10940
19,10952
21,10964
23,10976
25,10987
29,10999
29,11009
31,11021
31,11033
31,11044
31,11056
32,11068
32,11078
32,11090
32,11101
33,11113
34,11125
34,11135
35,11147
36,11159
37,11170
38,11182
39,11193
39,11203
40,11215
40,11226
41,11237
42,11251
42,11263
43,11274
44,11286
45,11298
45,11308
45,11320
46,11332
46,11344
46,11355
46,11366
46,11378
45,11390
44,11402
42,11413
41,11425
41,11435
39,11447
37,11458
36,11470
36,11480
34,11493
32,11505
30,11517
28,11529
26,11541
24,11552
24,11563
22,11574
20,11586
18,11598
16,11610
16,11620
14,11632
12,11644
12,11654
10,11666
7,11679
6,11690
4,11702
2,11714
0,11726
-1,11738
-1,11749
-3,11760
-4,11772
-6,11784
-6,11794
-8,11806
-9,11819
-10,11830
-12,11842
-13,11854
-13,11864
-14,11876
-15,11888
-17,11900
-18,11912
-19,11923
-19,11933
-20,11945
-21,11957
-22,11969
-22,11980
-22,11991
-23,12001
-24,12013
-24,12025
-24,12039
-24,12049
-25,12061
-25,12072
